2018-04-26 18:08:14 install debianutils:amd64 <none> 4.8.4
2018-04-26 18:08:14 status half-installed debianutils:amd64 4.8.4
2018-04-26 18:08:14 status unpacked debianutils:amd64 4.8.4
2018-04-26 18:08:14 status unpacked debianutils:amd64 4.8.4
2018-04-26 18:08:14 install diffutils:amd64 <none> 1:3.6-1
2018-04-26 18:08:14 status half-installed diffutils:amd64 1:3.6-1
2018-04-26 18:08:14 status unpacked diffutils:amd64 1:3.6-1
2018-04-26 18:08:14 status unpacked diffutils:amd64 1:3.6-1
2018-04-26 18:08:14 upgrade dpkg:amd64 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2018-04-26 18:08:14 status half-configured dpkg:amd64 1.19.0.5ubuntu2
2018-04-26 18:08:14 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2018-04-26 18:08:14 status half-installed dpkg:amd64 1.19.0.5ubuntu2
2018-04-26 18:08:14 status half-installed dpkg:amd64 1.19.0.5ubuntu2
2018-04-26 18:08:14 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2018-04-26 18:08:14 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2018-04-26 18:08:14 install e2fsprogs:amd64 <none> 1.44.1-1
2018-04-26 18:08:14 status half-installed e2fsprogs:amd64 1.44.1-1
2018-04-26 18:08:14 status unpacked e2fsprogs:amd64 1.44.1-1
2018-04-26 18:08:14 status unpacked e2fsprogs:amd64 1.44.1-1
2018-04-26 18:08:14 install fdisk:amd64 <none> 2.31.1-0.4ubuntu3
2018-04-26 18:08:14 status half-installed fdisk:amd64 2.31.1-0.4ubuntu3
2018-04-26 18:08:14 status unpacked fdisk:amd64 2.31.1-0.4ubuntu3
2018-04-26 18:08:14 status unpacked fdisk:amd64 2.31.1-0.4ubuntu3
2018-04-26 18:08:14 install findutils:amd64 <none> 4.6.0+git+20170828-2
2018-04-26 18:08:14 status half-installed findutils:amd64 4.6.0+git+20170828-2
2018-04-26 18:08:14 status unpacked findutils:amd64 4.6.0+git+20170828-2
2018-04-26 18:08:14 status unpacked findutils:amd64 4.6.0+git+20170828-2
2018-04-26 18:08:14 install gcc-8-base:amd64 <none> 8-20180414-1ubuntu2
2018-04-26 18:08:14 status half-installed gcc-8-base:amd64 8-20180414-1ubuntu2
2018-04-26 18:08:14 status unpacked gcc-8-base:amd64 8-20180414-1ubuntu2
2018-04-26 18:08:14 status unpacked gcc-8-base:amd64 8-20180414-1ubuntu2
2018-04-26 18:08:14 install grep:amd64 <none> 3.1-2
2018-04-26 18:08:14 status half-installed grep:amd64 3.1-2
2018-04-26 18:08:14 status unpacked grep:amd64 3.1-2
2018-04-26 18:08:14 status unpacked grep:amd64 3.1-2
2018-04-26 18:08:14 install gzip:amd64 <none> 1.6-5ubuntu1
2018-04-26 18:08:14 status half-installed gzip:amd64 1.6-5ubuntu1
2018-04-26 18:08:14 status unpacked gzip:amd64 1.6-5ubuntu1
2018-04-26 18:08:14 status unpacked gzip:amd64 1.6-5ubuntu1
2018-04-26 18:08:14 install hostname:amd64 <none> 3.20
2018-04-26 18:08:14 status half-installed hostname:amd64 3.20
2018-04-26 18:08:14 status unpacked hostname:amd64 3.20
2018-04-26 18:08:14 status unpacked hostname:amd64 3.20
2018-04-26 18:08:14 install init-system-helpers:all <none> 1.51
2018-04-26 18:08:14 status half-installed init-system-helpers:all 1.51
2018-04-26 18:08:14 status unpacked init-system-helpers:all 1.51
2018-04-26 18:08:14 status unpacked init-system-helpers:all 1.51
2018-04-26 18:08:15 install libacl1:amd64 <none> 2.2.52-3build1
2018-04-26 18:08:15 status half-installed libacl1:amd64 2.2.52-3build1
2018-04-26 18:08:15 status unpacked libacl1:amd64 2.2.52-3build1
2018-04-26 18:08:15 status unpacked libacl1:amd64 2.2.52-3build1
2018-04-26 18:08:15 install libattr1:amd64 <none> 1:2.4.47-2build1
2018-04-26 18:08:15 status half-installed libattr1:amd64 1:2.4.47-2build1
